id,address,zip,lat,lon,neighborhood,sale_date,sqft,bedrooms,bathrooms,floors,year_built,renovated,lot_size,garage,pool,school_rating,crime_rate,proximity_km,price,property_tax,hoa_fee
156,9052 Sunset Ave,94112,37.76104,-122.368131,OldTown,2025-04-09,1881.44,3,3,1,1935,0,14016.76,1,0,5.3,57.8,4.66,279255.41,1833.29,0.0
157,5869 Washington St,94110,37.75619,-122.407415,SuburbB,2025-05-10,1037.43,2,2,2,1922,0,8593.66,1,0,6.1,42.8,1.89,163368.31,1609.63,0.0
158,2933 Maple Blvd,94120,37.795299,-122.486217,Riverside,2023-06-30,1010.22,2,2,3,1957,0,3084.0,2,0,7.4,27.8,6.45,232787.06,1874.91,0.0
159,4231 Pine Blvd,94122,37.793399,-122.468596,OldTown,2025-09-19,2113.98,4,2,1,1936,0,12127.11,0,0,5.5,71.8,4.99,253274.38,1972.0,0.0
160,6893 Hill Rd,94106,37.768464,-122.428345,SuburbA,2025-05-03,3072.91,4,2,1,1974,0,7942.56,1,0,7.4,55.9,0.75,1140127.86,12553.76,0.0
161,292 Maple Ave,94125,37.741252,-122.461163,Uptown,2023-11-19,2066.26,2,3,2,1980,1,9483.19,1,0,6.1,18.6,4.82,587864.22,4254.19,300.0
162,2079 Elm Blvd,94086,37.781135,-122.417706,OldTown,2024-12-11,1703.67,3,1,1,1938,1,8955.36,0,0,7.7,43.5,1.25,245785.66,3424.02,0.0
163,3527 Hill Ln,94102,37.775472,-122.422167,SuburbB,2021-05-16,1569.31,3,2,2,1909,0,10152.72,2,0,6.9,50.0,0.64,209748.17,1193.95,0.0
164,6152 Oak Ln,94097,37.733452,-122.435536,SuburbB,2026-02-10,1502.7,1,2,1,2001,0,9269.67,1,1,8.3,62.6,4.28,710674.14,3557.6,0.0
165,8930 Maple St,94094,37.769504,-122.415881,OldTown,2023-05-04,1364.64,4,3,3,1955,1,8498.39,1,0,6.8,56.9,0.37,315039.69,1757.1,0.0
166,5506 Cedar Rd,94098,37.744846,-122.412893,OldTown,2025-06-29,792.25,4,2,1,1953,1,7302.4,1,0,6.9,67.8,2.86,131532.93,698.77,0.0
167,2898 Elm St,94121,37.754761,-122.443469,SuburbB,2024-08-06,2035.4,2,1,3,1927,0,3121.56,2,0,6.8,68.3,2.66,185115.75,989.61,0.0
168,6932 Sunset Dr,94122,37.75998,-122.395331,Uptown,2021-07-18,857.07,2,1,1,1985,1,7132.81,1,0,6.1,35.7,2.43,245033.68,2034.11,0.0
169,9261 Pine St,94086,37.788404,-122.455316,Uptown,2024-01-24,402.11,2,3,1,1991,1,4885.28,1,0,9.3,59.5,3.71,88435.92,751.15,0.0
170,4538 Lake St,94096,37.758062,-122.430259,SuburbA,2025-03-23,2260.62,4,2,1,2008,0,13546.88,0,0,8.4,56.4,1.6,558307.67,4420.8,0.0
171,9115 Sunset Ave,94115,37.756931,-122.384907,SuburbB,2024-12-03,2872.13,1,1,3,1990,0,3361.91,1,0,8.9,48.0,3.4,856346.63,9651.1,0.0
172,5691 Washington Blvd,94105,37.745882,-122.462616,Uptown,2025-01-17,1886.22,2,1,1,1937,1,9660.04,2,1,7.2,59.4,4.6,385740.87,3347.51,0.0
173,7959 Elm Rd,94105,37.747439,-122.439725,Downtown,2025-07-02,2555.13,3,1,1,1954,0,14679.21,2,0,10.0,35.6,3.04,585295.96,5182.62,0.0
174,4197 Maple Dr,94116,37.77442,-122.520124,OldTown,2024-06-07,676.01,6,3,2,1906,0,9658.0,0,0,7.2,60.6,8.8,121329.3,917.11,0.0
175,2282 Maple Rd,94108,37.792002,-122.453741,Downtown,2024-08-30,2869.58,2,3,2,1984,0,10392.54,0,0,10.0,52.7,3.84,828642.74,11106.66,0.0
176,4259 Hill Ave,94108,37.771319,-122.386508,Downtown,2022-09-27,2168.29,3,1,3,1970,0,7189.14,2,0,8.7,35.3,2.94,458279.04,5403.16,0.0
177,4583 Sunset Dr,94110,37.730013,-122.411997,Riverside,2024-04-11,1061.33,2,3,2,1923,1,3195.8,0,1,6.0,27.0,4.49,120636.19,1336.11,0.0
178,5081 Cedar Ln,94088,37.749223,-122.351595,Downtown,2024-04-18,2532.27,4,1,2,1942,0,12027.76,1,0,9.3,40.9,6.43,503004.54,5039.44,500.0
179,6831 Oak Dr,94117,37.714778,-122.427576,Uptown,2025-11-09,300,1,2,3,1992,1,14019.6,1,1,8.4,54.6,6.17,225096.86,2667.0,0.0
180,8820 Elm Rd,94124,37.771263,-122.377839,Riverside,2022-10-30,1894.29,3,4,1,1962,0,10847.32,1,0,10.0,35.6,3.7,372614.37,4235.45,0.0
181,1586 Sunset Ln,94123,37.776081,-122.430109,Riverside,2021-09-13,3045.44,3,2,2,2005,0,2046.06,1,0,9.8,24.7,1.11,637308.7,3658.18,0.0
182,5426 Hill Blvd,94106,37.743205,-122.396676,Riverside,2024-04-26,1914.2,4,2,3,1932,0,9793.12,1,0,9.9,46.8,3.61,261717.76,1642.85,0.0
183,5999 Pine St,94120,37.78417,-122.392755,Downtown,2022-01-09,2045.12,4,3,1,2005,0,1934.68,2,0,7.5,39.0,2.86,758263.02,9418.97,500.0
184,2956 Elm Ln,94118,37.758072,-122.429715,SuburbA,2024-07-06,2367.7,2,2,3,1974,0,6784.16,2,0,8.5,46.4,1.57,634632.2,7731.57,0.0
185,6372 Oak Ln,94098,37.794021,-122.463912,SuburbA,2022-03-02,2060.07,4,2,1,1960,1,6685.58,1,1,8.4,39.6,4.69,231675.77,1161.9,0.0
186,573 Hill Ave,94098,37.757651,-122.441326,Uptown,2024-01-25,1755.04,1,1,1,1968,1,7078.2,1,0,8.0,39.0,2.32,357571.94,4918.24,0.0
187,7128 Sunset Ln,94093,37.784712,-122.398493,SuburbB,2023-08-21,1949.11,3,1,3,1909,0,10709.6,2,0,4.5,52.5,2.5,226892.64,2211.25,0.0
188,8516 Cedar Blvd,94116,37.744437,-122.41179,Riverside,2022-04-08,2290.01,5,1,2,2018,0,4010.02,2,1,9.0,40.9,2.93,640275.4,3455.89,0.0
189,2339 Sunset Dr,94105,37.813903,-122.424935,SuburbB,2025-03-23,2076.99,4,3,1,1986,0,3561.48,1,0,6.0,43.2,4.89,507058.41,5439.63,0.0
190,6059 Lake Ln,94124,37.730954,-122.415686,SuburbB,2023-05-04,300,3,3,2,1953,0,5602.75,2,1,4.9,47.7,4.35,45706.7,684.15,0.0
191,8932 Cedar Ave,94123,37.757759,-122.416958,SuburbA,2024-08-10,2658.66,3,2,2,1960,1,659.36,1,0,5.8,51.4,1.38,748690.8,5793.59,0.0
192,9132 Pine Dr,94094,37.759559,-122.40082,Downtown,2024-06-17,2980.98,1,3,2,1972,0,5155.88,0,0,9.9,32.9,2.04,1082738.31,14188.54,500.0
193,2250 River St,94087,37.778933,-122.418195,Downtown,2026-01-15,2010.26,2,1,3,1977,0,7667.26,0,0,7.3,49.8,1.0,1043197.5,14252.91,0.0
194,4693 Elm Ave,94093,37.767009,-122.432505,Downtown,2025-08-18,2725.73,1,2,1,1932,0,9556.07,0,0,9.5,36.2,1.15,517627.71,3954.85,0.0
195,4483 Sunset Dr,94107,37.743997,-122.431041,SuburbB,2024-10-20,1758.36,3,1,1,1949,0,4117.7,0,1,6.6,53.2,3.04,271361.07,2959.94,0.0
196,2196 Hill Ave,94096,37.755225,-122.436777,OldTown,2024-05-26,647.91,2,3,3,1980,0,1191.82,1,0,6.0,30.7,2.2,78298.13,835.38,0.0
197,978 Pine Dr,94094,37.786694,-122.401612,OldTown,2022-02-04,2356.46,4,1,1,1902,0,5141.04,0,1,6.1,57.0,2.46,437217.82,5953.96,0.0
198,6881 River Rd,94119,37.792679,-122.41853,Uptown,2023-03-13,300,4,1,3,1965,1,5541.83,1,0,9.0,67.2,2.52,58467.46,730.57,0.0
199,575 Elm Ave,94117,37.744198,-122.412204,Downtown,2022-04-16,1608.97,2,1,1,2020,1,13031.18,1,0,10.0,44.8,2.94,721754.12,6751.83,0.0
200,6066 Sunset St,94114,37.734693,-122.438078,Downtown,2021-06-22,619.01,4,3,1,2000,1,14951.6,2,0,9.6,51.6,4.23,356105.83,3019.8,0.0
201,6764 Pine Blvd,94094,37.768549,-122.443706,SuburbB,2026-01-09,3587.77,3,3,2,1933,0,9259.41,1,0,9.3,37.7,2.09,642532.37,6160.76,0.0
202,8426 Maple Rd,94085,37.758688,-122.413763,OldTown,2022-09-17,2899.35,3,3,1,2010,0,9853.47,1,0,10.0,69.7,1.37,452121.69,3385.18,0.0
203,1053 Oak Blvd,94122,37.754303,-122.366051,Riverside,2024-01-16,1143.56,2,1,3,1908,1,13081.83,1,0,7.4,40.0,5.04,221965.02,1260.67,0.0
204,4314 Washington St,94095,37.761078,-122.423471,SuburbA,2023-07-03,2663.94,5,4,3,1926,0,3410.7,2,1,5.2,58.0,1.04,265194.89,2717.46,0.0
205,8345 Cedar St,94112,37.787739,-122.384186,SuburbA,2022-06-02,2276.35,3,2,3,1998,0,4899.07,1,0,7.7,50.7,3.71,362392.65,4021.92,0.0
206,7196 Cedar Ave,94100,37.785542,-122.405166,OldTown,2024-08-06,2537.15,4,3,3,1945,0,1888.73,1,0,5.8,64.8,2.16,382399.63,5434.76,0.0
207,3780 Hill Ave,94108,37.780626,-122.485966,SuburbA,2023-02-12,898.45,3,2,1,1901,0,196.82,2,0,7.6,53.0,5.91,131228.1,1189.8,0.0
208,2697 Sunset Rd,94112,37.802982,-122.398599,Downtown,2021-05-17,2193.92,3,2,3,1983,0,464.48,1,0,9.8,45.7,4.11,588330.68,4137.31,0.0
209,7626 Washington Dr,94098,37.770232,-122.459868,Downtown,2026-03-28,2232.73,3,2,3,1920,0,9620.04,1,0,8.0,51.9,3.5,601616.04,4781.67,300.0
210,5157 Hill Ln,94123,37.817773,-122.400872,Downtown,2023-11-12,2011.97,1,3,1,1915,0,3686.56,1,0,8.6,45.8,5.56,317571.02,3743.86,0.0
211,7993 Oak Ave,94097,37.78135,-122.428218,Downtown,2021-08-21,1325.16,3,4,3,1933,1,7451.23,1,0,9.7,44.9,1.45,388131.26,3661.67,0.0
212,1998 Oak Blvd,94124,37.757179,-122.397867,Downtown,2024-08-02,1543.99,4,2,2,1977,0,5196.23,1,0,10.0,31.1,2.41,529985.61,4730.89,0.0
213,2689 Oak Ave,94098,37.753039,-122.412942,OldTown,2022-01-22,1936.73,3,2,3,1965,0,181.64,1,0,5.7,67.3,1.98,543941.88,5888.03,0.0
214,7203 Cedar Rd,94086,37.772093,-122.384472,Downtown,2023-06-27,1942.63,3,2,3,1922,0,944.57,0,1,9.7,46.7,3.13,395619.18,5070.25,0.0
215,9060 Pine Dr,94125,37.747914,-122.36645,SuburbB,2023-06-02,2896.2,2,1,2,1958,0,8656.94,1,1,5.0,58.6,5.3,658833.98,7681.14,0.0
216,4502 Elm Dr,94108,37.796759,-122.424482,Downtown,2024-02-01,852.49,3,3,3,1981,0,5229.57,2,0,10.0,39.9,3.0,324565.04,3938.66,0.0
217,6625 Maple Rd,94118,37.750169,-122.417054,Riverside,2024-04-18,1261.03,2,2,1,1978,0,4416.69,1,0,6.2,35.0,2.22,305123.73,3275.12,0.0
218,7639 Elm Blvd,94116,37.733993,-122.429076,Downtown,2026-02-28,2202.97,3,1,3,1952,1,10818.94,0,0,9.1,46.1,4.08,479203.22,7162.91,0.0
219,2360 Oak Ave,94120,37.741375,-122.470595,Riverside,2022-10-02,2861.97,2,2,1,2007,0,7537.37,0,0,8.8,37.6,5.46,931720.79,8766.77,0.0
220,3746 Washington Rd,94109,37.798501,-122.414507,SuburbA,2022-02-13,2317.54,4,3,1,2015,0,3045.53,0,0,8.5,62.4,3.2,655622.55,7430.04,0.0
221,9816 Maple Dr,94120,37.780615,-122.389925,OldTown,2023-10-24,2245.08,4,3,3,1951,0,13928.41,0,0,6.1,43.4,2.89,373774.95,5067.87,0.0
222,5445 Elm Dr,94090,37.770595,-122.485558,Riverside,2025-10-26,1618.67,3,3,2,1961,1,721.44,2,0,7.8,21.6,5.75,468764.12,6030.4,0.0
223,7652 Hill Blvd,94119,37.75413,-122.482764,OldTown,2024-03-22,2340.63,4,2,3,1953,1,11756.32,1,0,4.6,54.8,5.78,410219.15,4091.9,0.0
224,8708 Sunset St,94102,37.7829,-122.409042,Downtown,2023-05-14,955.04,3,3,3,2006,0,2197.17,1,0,9.0,36.7,1.72,325990.1,4252.5,0.0
225,4962 Maple St,94122,37.743119,-122.453628,SuburbB,2024-08-24,1560.36,4,1,2,1947,1,14066.6,1,0,7.6,50.6,4.2,118546.24,1535.65,0.0
226,786 Oak Ln,94113,37.772386,-122.432722,OldTown,2022-01-05,908.86,2,1,3,2019,1,195.83,1,0,8.9,56.3,1.15,235043.3,1539.95,0.0
227,9346 Oak Rd,94121,37.759565,-122.373152,SuburbB,2026-01-18,384.79,2,1,3,2009,0,7738.98,1,0,7.3,46.3,4.27,95196.39,838.55,0.0
228,7586 River Rd,94119,37.712289,-122.433579,Uptown,2023-11-17,2176.06,4,3,1,1944,0,11075.75,1,0,6.3,42.5,6.52,440827.87,4060.67,0.0
229,459 Pine Blvd,94093,37.805763,-122.452561,Riverside,2024-12-07,1787.4,3,3,3,1988,0,10068.04,1,0,9.2,45.7,4.89,431903.38,4882.64,0.0
230,535 Oak Rd,94090,37.745326,-122.398483,OldTown,2024-05-07,1710.4,4,2,2,2004,0,7943.61,1,1,5.2,59.3,3.33,371449.68,2112.96,0.0
231,2855 Sunset Blvd,94086,37.77086,-122.407766,SuburbA,2026-01-30,2459.98,4,3,1,1986,0,7911.57,1,0,2.8,67.5,1.08,556282.3,4977.78,0.0
232,856 Oak Ln,94118,37.753301,-122.420028,Riverside,2025-08-09,1209.58,3,2,1,1937,0,6386.9,0,0,9.9,39.4,1.85,233937.0,3387.17,0.0
233,2060 Washington Dr,94094,37.78974,-122.383348,SuburbA,2024-02-26,2063.21,4,1,2,2007,1,19040.53,1,0,8.4,46.3,3.89,648360.27,8833.83,0.0
234,5130 Hill Ave,94105,37.757395,-122.414795,SuburbB,2023-11-08,1933.16,3,1,2,1972,1,7070.3,0,0,4.7,49.2,1.47,356735.82,4440.82,0.0
235,7778 Cedar Rd,94100,37.775397,-122.407666,SuburbA,2022-02-21,1387.36,3,1,2,1916,0,12850.76,1,1,7.4,50.7,1.24,163981.24,914.18,0.0
236,8522 Washington Rd,94087,37.766534,-122.381749,SuburbB,2024-11-26,1397.27,2,2,2,1936,0,5571.04,0,0,5.2,53.4,3.38,200160.7,1523.18,0.0
237,8111 Cedar Ln,94096,37.770191,-122.392136,SuburbB,2023-09-08,837.57,2,3,2,1976,0,1727.91,0,0,7.4,58.9,2.44,97779.8,1375.19,0.0
238,7284 Cedar St,94122,37.777454,-122.398952,Downtown,2024-07-01,2751.08,3,2,1,1928,0,11615.89,2,0,8.6,33.6,2.02,654941.22,5322.83,150.0
239,7903 River Rd,94115,37.765392,-122.407943,Uptown,2023-03-20,2413.66,4,1,2,2004,1,6528.84,1,0,9.7,47.0,1.18,608549.02,6816.36,500.0
240,8782 Maple Rd,94098,37.822414,-122.417737,Downtown,2023-03-01,2373.32,2,1,2,2016,0,5010.61,1,0,8.6,50.1,5.82,703576.64,5833.83,0.0
241,6403 Maple Ln,94114,37.784153,-122.465235,OldTown,2025-02-02,2322.3,2,2,1,1912,0,12483.97,1,0,6.5,65.6,4.27,580612.57,3133.79,0.0
242,2398 Elm Ave,94118,37.819216,-122.383964,OldTown,2021-07-23,1893.65,3,4,2,1956,0,16638.74,1,0,5.0,57.6,6.31,214292.56,1299.33,0.0
243,5242 Elm Rd,94122,37.769443,-122.405658,Riverside,2025-03-03,2511.47,4,1,1,1974,1,21483.8,2,1,8.7,28.6,1.26,982114.36,11065.79,0.0
244,530 Washington Ln,94118,37.772791,-122.38553,OldTown,2025-12-07,2060.56,2,2,2,1934,0,9848.65,1,0,6.8,42.6,3.04,331953.63,3033.23,0.0
245,2825 Sunset St,94121,37.802717,-122.450617,SuburbB,2025-04-09,2439.52,3,2,1,1938,0,1596.48,1,1,2.9,54.2,4.52,152844.73,1841.35,0.0
246,6137 Cedar Ln,94089,37.748256,-122.399565,SuburbB,2022-12-29,2015.54,2,2,1,1925,0,9193.38,0,0,5.2,49.1,3.01,183389.19,1102.4,0.0
247,9187 Pine Rd,94110,37.811448,-122.435629,Uptown,2023-03-29,1239.79,3,1,3,1954,1,3648.72,1,1,5.5,41.1,4.8,410498.84,5518.57,0.0
248,1919 Oak Rd,94110,37.755876,-122.446804,Riverside,2026-02-19,2340.92,4,3,3,1980,0,9179.55,1,0,8.4,31.7,2.83,460537.24,4399.57,0.0
249,194 Cedar Ave,94088,37.770593,-122.453958,OldTown,2024-11-20,1202.42,1,1,1,2015,0,9272.98,1,0,6.9,56.1,2.98,351390.45,4178.67,0.0
250,4403 Pine Ln,94102,37.789569,-122.374228,Riverside,2022-05-06,2262.54,2,2,3,1994,1,5648.46,1,0,6.9,43.8,4.57,830703.11,7289.12,0.0
251,6231 Oak Blvd,94095,37.751964,-122.412603,Uptown,2021-07-11,2129.27,4,1,3,1926,0,6555.78,1,0,8.0,32.4,2.1,382259.03,4963.49,0.0
252,695 Cedar Dr,94125,37.739063,-122.434418,Uptown,2023-08-10,1012.72,5,1,1,1982,0,7748.01,2,1,10.0,38.6,3.66,259480.16,2238.97,0.0
253,9313 Oak Rd,94120,37.763933,-122.420194,OldTown,2025-09-22,1535.46,1,2,1,1901,0,5304.2,1,0,5.0,49.6,0.67,202896.83,3037.45,0.0
254,682 Washington Dr,94114,37.762747,-122.451966,SuburbA,2023-01-29,1219.73,4,1,3,1930,1,6640.34,1,0,8.4,67.1,2.92,164883.18,1053.14,0.0
255,8545 Maple Ave,94115,37.80544,-122.425059,SuburbB,2024-01-09,1213.75,3,3,1,1994,0,14170.98,1,1,6.0,47.5,3.96,372304.72,1892.71,0.0
256,870 Elm St,94095,37.795682,-122.444806,Riverside,2024-04-02,2286.41,4,2,3,1943,0,10733.03,2,0,10.0,31.3,3.59,826045.24,12278.14,0.0
257,1173 Elm Ave,94085,37.810238,-122.456205,SuburbB,2025-07-12,1934.42,4,1,2,1903,1,6705.7,0,0,3.5,59.8,5.48,179280.18,2564.35,0.0
258,4800 River Dr,94087,37.776635,-122.456983,SuburbB,2023-11-14,1947.66,3,1,3,2018,1,1082.42,0,0,8.7,72.6,3.33,509957.87,5909.69,0.0
259,7823 Elm St,94119,37.744459,-122.448967,OldTown,2022-02-04,1905.57,3,2,1,1980,0,9144.87,0,0,5.7,59.9,3.81,294628.56,3791.19,0.0
260,2845 Sunset Dr,94118,37.779326,-122.430087,OldTown,2022-10-07,1329.92,3,3,3,1975,1,9584.4,0,0,7.4,68.7,1.36,269146.22,2092.19,0.0
261,9663 Sunset Ave,94116,37.728929,-122.409797,SuburbA,2024-01-16,1821.47,2,3,1,1975,0,3196.78,0,1,8.6,50.4,4.65,265449.85,2721.82,0.0
262,972 Sunset Blvd,94099,37.782064,-122.43507,OldTown,2021-08-14,1723.62,1,1,1,1968,0,7744.95,0,0,5.5,63.1,1.88,410530.48,2248.83,0.0
263,8894 Lake Rd,94090,37.782042,-122.436548,Riverside,2023-06-07,1131.55,3,2,1,2019,0,10063.95,0,0,9.9,57.7,1.97,494049.18,7013.84,0.0
264,4069 Maple St,94111,37.794231,-122.396145,Riverside,2025-07-30,2662.27,1,2,3,1990,0,6537.33,0,1,10.0,50.7,3.41,941367.4,4766.77,0.0
265,6421 Sunset St,94113,37.762722,-122.402342,SuburbA,2025-04-05,2466.2,2,3,2,1951,1,3468.21,0,0,7.4,62.4,1.75,561912.88,4471.69,0.0
266,3024 Pine Ave,94095,37.723895,-122.410814,SuburbA,2024-08-23,2042.84,1,2,1,2014,0,8139.62,1,0,4.2,31.6,5.18,672668.28,3511.76,0.0
267,9261 Cedar Ln,94106,37.79541,-122.393558,Downtown,2026-01-17,697.54,2,2,1,1974,1,1126.71,1,1,10.0,39.5,3.65,167907.9,968.56,0.0
268,6650 Elm Dr,94095,37.785689,-122.449484,Downtown,2023-06-08,2017.14,3,3,3,2000,1,5133.68,2,0,10.0,38.5,3.12,1241176.93,11772.13,0.0
269,7769 Oak St,94107,37.778077,-122.473267,SuburbB,2024-06-23,2351.2,3,1,3,1902,0,8884.64,2,0,7.3,62.4,4.76,220025.28,1870.5,0.0
270,1317 Pine Ln,94118,37.782658,-122.419146,OldTown,2022-11-25,1752.04,3,1,2,2001,1,8598.32,1,0,6.5,62.8,1.41,625035.19,7635.0,0.0
271,4084 Hill Dr,94094,37.753441,-122.385984,Uptown,2022-01-28,1455.13,2,3,2,1977,1,468.44,1,0,8.0,43.5,3.51,462632.9,4512.09,0.0
272,5382 Pine Rd,94120,37.7676,-122.433291,Riverside,2023-04-25,2690.7,2,1,3,1971,0,9153.27,1,1,7.4,39.1,1.2,436533.67,3486.97,0.0
273,1990 Pine St,94109,37.759138,-122.482952,OldTown,2025-10-21,2974.46,2,1,3,1967,0,9203.5,1,0,6.9,58.7,5.65,895411.61,12512.34,0.0
274,1567 Hill Dr,94111,37.766068,-122.385009,SuburbB,2025-05-13,1062.56,4,3,2,2013,0,5427.73,1,1,5.1,54.7,3.1,184998.81,1407.88,0.0
275,9385 Washington Ln,94107,37.789818,-122.444195,Riverside,2021-11-30,853.08,2,3,3,1937,1,11356.31,0,0,10.0,44.1,3.06,502550.6,7372.45,0.0
276,1463 River St,94101,37.775629,-122.427581,SuburbB,2022-04-26,1391.22,3,1,1,1957,0,3122.23,0,0,6.5,46.4,0.91,117428.75,1629.69,0.0
277,3999 Oak Rd,94100,37.783914,-122.399018,SuburbA,2026-01-01,1093.6,3,2,3,2009,0,7392.33,0,0,9.5,38.1,2.4,284977.57,4120.8,0.0
278,5076 River Dr,94121,37.755227,-122.45384,OldTown,2025-06-10,1454.86,3,2,1,1969,1,11115.29,1,0,4.4,56.5,3.39,392621.35,5633.51,0.0
279,9380 Pine Blvd,94119,37.778259,-122.419782,SuburbB,2021-10-20,2106.8,2,1,3,1974,0,1023.97,2,1,5.0,52.4,0.92,264714.83,1559.2,0.0
280,271 Maple Blvd,94096,37.765745,-122.393528,Uptown,2026-03-09,2398.76,3,2,2,1972,1,10545.56,0,0,9.8,45.1,2.37,1255976.67,7430.17,0.0
281,7606 River St,94100,37.806614,-122.437858,Riverside,2025-10-08,1915.53,2,3,2,1913,1,8096.03,1,0,9.1,52.0,4.36,336784.11,2492.28,0.0
282,7824 Pine Ln,94117,37.782798,-122.461594,Downtown,2022-04-06,1036.69,2,2,3,2002,1,12895.24,1,0,10.0,56.6,3.92,391104.27,3511.5,0.0
283,7933 Oak St,94093,37.79009,-122.397529,OldTown,2024-12-01,1359.62,3,2,3,1948,0,8581.73,1,0,1.9,57.1,2.98,176556.78,1457.2,0.0
284,165 River Ln,94104,37.775638,-122.415966,Uptown,2022-03-03,2356.58,5,2,1,1947,1,5111.05,1,0,8.4,51.3,0.72,544114.24,6590.79,0.0
285,2518 Lake Blvd,94086,37.777676,-122.434723,SuburbA,2022-05-10,1187.2,1,3,1,1953,0,2905.43,1,0,10.0,64.9,1.55,209048.8,1649.26,0.0
286,7379 River Blvd,94094,37.758882,-122.371681,OldTown,2023-08-28,1295.36,4,1,1,1939,0,11223.95,1,0,6.5,62.8,4.42,197472.42,1436.14,0.0
287,6344 Maple Rd,94122,37.766385,-122.418798,SuburbA,2026-03-15,1415.54,4,2,3,1910,1,3201.55,1,0,9.2,50.4,0.41,193656.58,2576.42,0.0
288,2090 Oak Ave,94105,37.783772,-122.470125,SuburbB,2023-09-05,1934.79,3,1,1,1920,0,2986.81,1,0,4.9,64.3,4.66,277914.57,3118.66,0.0
289,7371 Oak Rd,94102,37.789367,-122.404933,SuburbA,2024-02-02,1316.29,5,1,1,2000,0,549.59,2,1,5.9,48.5,2.52,359183.6,2513.26,0.0
290,7288 Hill Dr,94104,37.767038,-122.413956,Downtown,2025-06-19,2465.92,3,1,3,1964,0,4626.92,0,0,7.4,45.4,0.62,650985.42,7968.7,0.0
291,4210 Hill Dr,94124,37.763896,-122.448414,SuburbB,2023-05-24,1783.79,3,2,2,2016,0,13461.84,2,0,6.6,77.0,2.58,446100.24,4659.61,0.0
292,6824 Hill Blvd,94105,37.755207,-122.410986,SuburbB,2024-09-30,890.79,3,3,1,1993,0,3892.86,2,0,7.7,49.6,1.82,272599.09,1650.1,0.0
293,2855 Oak Ln,94120,37.75202,-122.418386,SuburbB,2025-07-07,2492.13,4,2,3,1939,0,7493.02,2,0,5.7,52.7,2.0,447528.11,6677.6,0.0
294,601 Cedar Ave,94103,37.779485,-122.418753,SuburbA,2021-10-06,2487.01,3,1,3,1909,0,8459.84,1,0,7.7,22.3,1.06,722792.1,9986.64,0.0
295,6708 Cedar Dr,94105,37.783939,-122.430514,Riverside,2026-03-08,2645.84,3,2,2,1924,1,5341.9,2,0,8.2,37.5,1.8,335016.06,3928.34,0.0
296,2817 Oak Ave,94109,37.755673,-122.445369,OldTown,2021-11-21,1498.24,2,2,3,1904,1,11029.8,1,0,4.9,48.1,2.74,151026.26,2222.68,0.0
297,2204 River Blvd,94119,37.81215,-122.397815,SuburbA,2021-12-16,1508.99,2,2,2,1937,1,12193.34,1,0,8.5,51.4,5.07,354830.95,2443.64,0.0
298,6565 Cedar Ln,94120,37.76531,-122.399882,Downtown,2024-08-26,1452.94,3,3,2,1946,0,8663.48,2,0,9.2,41.9,1.84,401874.46,5199.63,0.0
299,5062 Sunset Ln,94109,37.723876,-122.455427,SuburbB,2022-04-22,1124.68,3,1,1,1919,0,7095.78,2,0,4.6,58.7,5.99,203189.15,2752.24,0.0
300,4419 Washington Rd,94100,37.773784,-122.440891,Downtown,2025-05-27,2453.39,2,3,3,1949,0,4133.24,1,1,7.2,21.7,1.88,849161.57,9977.41,0.0
301,2977 Sunset Blvd,94087,37.792259,-122.417614,SuburbB,2026-04-02,1210.92,3,2,3,1995,1,9500.37,1,0,5.8,43.2,2.48,196871.89,2104.82,0.0
302,3301 Elm Ave,94112,37.790325,-122.372163,Uptown,2025-04-29,1906.51,3,2,3,1991,0,3769.88,1,0,5.6,54.5,4.77,738703.42,10229.72,300.0
303,9610 Pine Rd,94109,37.743161,-122.467387,Uptown,2022-08-16,2786.42,4,2,3,1913,0,6449.78,1,0,7.7,42.2,5.11,559213.4,3262.89,0.0
304,8241 Maple Ln,94104,37.763682,-122.45187,SuburbA,2023-06-22,1503.24,3,2,3,1904,1,5092.12,2,0,8.0,42.8,2.88,215478.03,1830.43,0.0
305,692 River Ln,94106,37.738999,-122.434036,Riverside,2023-10-17,2854.76,5,1,3,1942,1,14258.16,0,0,8.8,33.2,3.65,788000.52,8332.64,0.0
306,9304 Elm Rd,94099,37.777957,-122.424209,Uptown,2021-09-18,2535.75,2,1,2,2012,0,7411.37,2,0,8.3,50.6,0.96,564906.24,7808.86,300.0
307,8863 Sunset Blvd,94124,37.782601,-122.373455,SuburbA,2024-09-15,2913.35,2,2,1,1911,0,3272.92,2,0,7.0,52.6,4.32,383274.98,4584.6,0.0
308,8390 Washington Blvd,94109,37.812117,-122.403778,SuburbA,2026-04-12,2197.85,2,1,2,2001,1,8361.34,1,0,7.9,64.2,4.89,653690.4,6322.72,0.0
309,8713 Cedar St,94111,37.770851,-122.465005,Uptown,2025-11-23,2387.09,4,2,3,1962,0,7836.67,0,0,5.4,74.5,3.95,908286.81,12777.4,0.0
310,8712 Lake Rd,94124,37.782327,-122.466972,SuburbB,2025-05-24,1778.82,2,2,3,2006,0,5008.42,2,0,6.7,60.1,4.34,334696.55,2477.86,0.0
311,6067 Cedar Ln,94122,37.758052,-122.371231,SuburbA,2022-09-19,1969.21,3,2,1,1965,0,4045.49,1,0,8.9,56.4,4.48,419308.77,4017.16,0.0
